id	Sandy, bisa ambilkan sausnya? 
ru	Сэнди, можешь передать соус? 
ar	&rlm;‏هلا تعطني مرق اللحم يا "ساندي"؟‏ | 
da	Sandy, vil du række mig sovsen? 
el	Μπορείς να μου δώσεις τη σάλτσα, Σάντι; 
en	Sandy, can you pass me the gravy? | 
fi	Sandy, ojentaisitko kastikkeen? 
fr	Sandy, tu me passes la sauce ? 
he	&rlm;‏סנדי, אתה יכול להעביר לי את הרוטב?‏ | 
it	Sandy, mi passeresti la salsa? 
ko	샌디, 그레이비 좀 주실래요? | 
no	Sandy, kan du sende sausen? 
pl	Możesz podać mi sos? 
pr-br	Sandy, pode me passar o molho? 
pr	Sandy, podes passar-me o molho? 
ro	Sandy, vrei să-mi dai sosul? 
sp-eu	Sandy, ¿me puedes pasar la salsa? 
sp	Sandy, ¿me pasas la salsa? 
sv	Kan du skicka såsen, Sandy? 
th	แซนดี้ ช่วยส่งเกรวีให้หน่อยได้ไหม | 
tr	Sandy, bana sosu uzatabilir misin? 
vi	Sandy, lấy giúp tôi nước xốt thịt nhé? | 
zh-long	山迪，幫我拿一下醬汁，好嗎？ 
zh-short	桑迪 能把肉汤递给我吗？ 
nl	Kun je de jus aangeven? -Natuurlijk kan ik dat. 
ja	ソースを取れる？ | 

