ar	&rlm;‏لا يُصدق.‏ | 
da	Det er løgn. 
el	Με τίποτα. 
en	[scoffs] Get out of here. | 
fi	Älä huijaa. 
fr	Sans blague. 
he	&rlm;אתה צוחק.‏ | 
it	Ma non mi dire. 
ko	설마요 | 
nl	Dat meen je niet. 
no	Gi deg. 
pl	Zalewasz. 
pr-br	Não acredito. 
pr	Está a brincar. 
ro	Du-te de-aici! 
sp-eu	Venga ya. 
sp	No me digas. 
sv	Det menar du inte. 
th	เชื่อเลย | 
tr	Hadi canım. 
vi	Thôi nào. | 
zh-long	真的假的？ 
zh-short	少来了 
id	Yang benar saja. 
ru	Да бросьте. 
ja	ウソでしょ？ | 

cs	Za chvilku se všechno vyjasní. 
da	Okay, nu vil alt snart stå klart. | 
el	Εντάξει, όλα θα ξεκαθαρίσουν τώρα. 
en	Okay, it will all be clear in a second. 
es-eu	Vale, todo se aclarará pronto. 
fi	Kohta kaikki selviää. | 
fr	Tout va s'éclaircir vite. 
he	‫טוב, הכול יתברר עוד מעט.‬ | 
hr	Uskoro će sve biti jasno. 
hu	Oké, most már minden világos lesz. 
it	Ok, tra poco sarà tutto chiaro. 
ko	&lrm;이제 알 수 있겠네 | 
nl	Alles zal zo meteen duidelijk worden. 
no	Ok, alt er klart nå. 
pt-br	Tudo se esclarecerá agora. 
pt	Pronto, tudo será esclarecido. 
ru	Ладно. Сейчас всё выясним. 
sv	Nu lär snart allting klarna. 
th	&lrm;โอเค ทุกอย่างจะชัดเจนละ | 
tr	Şimdi her şey açıklığa kavuşacak. 
uk	Добре, зараз дізнаємося. 
vi	&lrm;Được rồi, mọi chuyện sẽ rõ ngay. | 
zh-long	好，之後一切都會變得明朗 
zh-short	好吧 一切就要水落石出了 
es	Todo se aclarará pronto. 
id	Baiklah, semuanya akan jelas sekarang. 
ms	Semuanya akan terjawab sekejap lagi. 
ja	&lrm;今に全てが分かるさ | 
ro	O să ne lămurim imediat. 

