ar	&rlm;‏الحركة. الفنون القتالية.‏ | 
da	Bevægelse, kampsport. 
el	Κίνηση. Πολεμικές τέχνες. 
en	Movement, martial arts... | 
es-eu	Movimiento, artes marciales... 
es	Movimiento. Artes marciales... 
fi	Liikehdintää, taistelulajeja... 
fr	Mouvement, arts martiaux... 
he	&rlm;‏תנועה. אמנויות לחימה...‏ | 
id	Gerakan. Seni bela diri. 
it	Ginnastica. Arti marziali. 
ko	무브망, 무술 | 
nl	Beweging, vechtsporten... 
no	Bevegelser, kampsport... 
pl	Ruch, sztuki walki. 
pt-br	Dança, artes marciais... 
pt	Movimento, artes marciais. 
ro	Mișcare, arte marțiale... 
ru	Движение, боевые искусства. 
sv	Rörelser, kampsporter. 
th	การเคลื่อนไหว ศิลปะป้องกันตัว | 
tr	Hareket, dövüş sanatları... 
vi	Khiêu vũ, võ thuật... | 
zh-long	律動、武術 
zh-short	动作 武术 
ja	所作から武術まで | 

en	[Hubie continues muttering, warbling] 

