ja	「スター誕生」で | 一つ星だった人？ | 
id	Bukankah kau dapat satu bintang di  Star Search  tempo hari? 
pl	To ty dostałeś jedną gwiazdkę w  Star Search? 
ar	&rlm;‏ألم تنل نجمة واحدة في برنامج "ستار سرتش"؟‏ | 
da	Fik du ikke en stjerne i  Star Search? 
el	Δεν πήρες ένα αστέρι στο  Star Search; 
en	Didn't you get one star | on Star Search the other day? | 
fi	Sinähän sait yhden tähden  Star Searchissä. 
fr	C'est vous qui avez eu une étoile sur  Star Search  ? 
he	&rlm;‏לא קיבלת כוכב אחד ב"מחפשים כוכב"?‏ | 
it	Non sei quello che ha preso una sola stella a  Star Search? 
nl	Kreeg jij niet één ster bij  Star Search? 
no	Fikk du ikke én stjerne på  Star Search? 
pr-br	Não recebeu uma estrela em  Star Search? 
pr	Não obteve uma estrela no  Star Search? 
ro	N-ai primit o stea la  Star Search? 
sp-eu	¿No eres el que solo recibió una estrella en  Star Search? 
sp	¿No te dieron una estrella en  Star Search? 
sv	Fick du inte en stjärna i  Star Search  häromdan? 
th	คุณใช่ไหมที่ได้ดาวเดียว | ในรายการสตาร์เซิร์ช | 
tr	Star Search'te tek yıldız almamış mıydınız? 
vi	Anh nhận được một sao | trong chương trình Star Search? | 
zh-long	你是不是在選秀節目 拿到一顆星那個人？ 
zh-short	你不是上《明日之星》得了一星吗？ 
ko	‘스타 발굴’에서 | 별 하나 받지 않으셨어요? | 

