ja	その彼が変化を求めてる | 
id	Sebenarnya, aku dan Kevin berpikir ini saatnya perubahan. 
ru	Мы с Кевином считаем, что пора что-то менять. 
ar	&rlm;‏نظن أنا و"كيفن" أنه حان وقت التغيير.‏ | 
da	Kevin og jeg synes, det er tid til forandring. 
el	Ο Κέβιν κι εγώ πιστεύουμε πως είναι ώρα για μια αλλαγή. 
en	Actually, Kevin and I think | it's time for a change. | 
es-eu	Kevin y yo creemos que toca hacer un cambio. 
es	Kevin y yo creemos que es hora de un cambio. 
fi	Kevin ja minä päätimme, että hän kaipaa muutosta. 
fr	Avec Kevin, on a envie de changement. 
he	&rlm;‏קווין ואני חושבים שהגיע הזמן לשינוי.‏ | 
it	Io e Kevin riteniamo che sia il momento di cambiare. 
ko	케빈이랑 나는 | 이제 변화가 필요하다고 생각해 | 
nl	Kevin en ik vinden het tijd voor verandering. 
no	Kevin og jeg synes det er tid for forandring. 
pl	Uważamy z Kevinem, że czas na zmiany. 
pr-br	Kevin e eu achamos que é hora de mudar. 
pr	Eu e o Kevin achamos que está na hora de mudar. 
ro	Eu și Kevin ne-am gândit la o schimbare. 
sv	Kevin och jag tycker att det är dags för förändring. 
th	เควินกับผมคิดว่า | ถึงเวลาเปลี่ยนแปลงแล้ว | 
tr	Kevin'le ben değişiklik vaktinin geldiğine inanıyoruz. 
vi	Kevin và tôi nghĩ đến lúc cần thay đổi. | 
zh-long	凱文和我都覺得該有所改變了 
zh-short	凯文和我觉得是时候做出改变了 

en	♪ Devil ♪ 

