ar	&rlm;‏وأنت تتنفسين.‏ | 
da	Og du trækker vejret. 
el	Αναπνέεις. 
en	And you... you're breathing. | 
fi	Sinä hengität. 
fr	Et tu respires. 
he	&rlm;‏ואת... נושמת.‏ | 
it	Respiri. 
no	Og du puster. 
pl	Oddychasz. 
pr-br	E você está respirando. 
pr	E estás a respirar. 
ro	Și respiri. 
sp-eu	Y respiras. 
sp	Y estás respirando. 
sv	Och du andas. 
th	หายใจอยู่หรือเปล่า | 
tr	Ve nefes alıyorsun. 
vi	Cô vẫn đang thở. | 
zh-long	妳要呼吸喔 
zh-short	你有呼吸 
nl	En je ademt. Adem je wel? 
ru	А ты... 
ja	息は― | 
id	Kau bernapas. 
ko	숨은 쉬는구나 | 
ru	...дышишь? 
ja	してる | 

