ar	&rlm;‏أنا خرجت معها؟‏ | 
da	Gik jeg ud med hende? 
el	Έβγαινα μαζί της; 
en	I went out with her? | 
es-eu	¿Yo salí con ella? 
es	¿Yo salí con ella? 
fi	Deittailinko hänen kanssaan? 
fr	Ah bon, moi aussi ? 
he	&rlm;‏אני יצאתי איתה?‏ | 
it	Siamo stati insieme? 
ko	나랑 사귀었다고? | 
nl	Had ik iets met haar? 
pl	Chodziłem z nią? 
pt-br	Eu saí com ela? 
pt	Eu andei com ela? 
ro	Am fost cu ea? 
sv	Gick jag ut med henne? 
tr	Onunla çıktım mı? 
vi	Tôi từng hẹn hò với cô ấy? | 
zh-long	我跟她有一腿？ 
zh-short	我跟她交往过吗？ 
ja	僕も？ | 
no	-Var jeg sammen med henne? -Sandy var fra seg. 
id	Aku kencan dengannya? 
ru	Я с ней встречался? 
th	ผมเดตเธอเหรอ | 

en	♪ But what you gonna say ♪ 

