id	Biar kutarik selimutnya. 
ja	これをかけてやろう | 
ru	Дай я тебя укрою. 
ar	&rlm;‏دعيني أرفع هذه من أجلك.‏ | 
da	Jeg giver dig det her på. 
el	Κάτσε να σε σκεπάσω. 
en	Let me get this up for you. | 
fi	Peittelen sinut. 
fr	Je te mets la couverture. 
he	&rlm;‏תני לי לכסות אותך.‏ | 
it	Fatti coprire. 
nl	Ik doe dit over je heen. 
no	La meg ta denne for deg. 
pl	Przykryję cię. 
pr-br	Vou arrumar isso para você. 
pr	Deixa-me tapar-te. 
ro	O să te învelesc eu. 
sp	Déjame que te cubra. 
sp-eu	Deja que te suba esto. 
sv	Jag ska ge dig lite täcke. 
th	ให้ผมดึงผ้าห่มให้ | 
tr	Şunu da çekeyim. 
vi	Để tôi đắp chăn cho cô nào. | 
zh-long	我幫妳蓋好被子 
zh-short	我来帮你盖上被子 
ko	이불 덮어줄게 | 

