ar	&rlm;‏كرهته شركة التسجيلات.‏ | 
en	[man 2] The label hated it. | 
es-eu	La discográfica lo odió. 
fr	Le label a tiqué. 
he	&rlm;‏חברת התקליטים שנאה את זה.‏ | 
it	L'etichetta era contraria. 
ko	음반사는 싫어했죠 | 
no	Plateselskapet hatet det. 
pt	A editora detestou. 
pt-br	A gravadora odiou. 
ro	N-a avut succes. 
tr	Plak şirketi nefret etti. 
vi	Hãng thu âm rất ghét. | 
zh-long	那家唱片公司不喜歡 
zh-short	唱片公司不喜欢 
el	Η εταιρεία το μισούσε. 
pl	Wytwórni się nie podobało. 
es	- Al sello no le gustó. - El castillo de Gloucester. 
ru	-Студия взбесилась. -Это замок Глостера... 
ja	NETFLIX プレゼンツ | 
th	บริษัทไม่ชอบเลย | 
ja	NETFLIX プレゼンツ | 
ja	意外だ | 
id	-  Label membencinya. -  Ini kastel Adipati Gloucester. 
fi	-Levy-yhtiö ei tykännyt. -Gloucesterin herttuan linna. 
sv	Bolaget hatade det. 
ja	意外だ | 

it	DAL ROMANZO DI HARLAN COBEN 
cs	PODLE ROMÁNU HARLANA COBENA 
es	BASADA EN LA NOVELA DE HARLAN COBEN 
fi	PERUSTUU HARLAN COBENIN ROMAANIIN | 
uk	ЗА РОМАНОМ ГАРЛАНА КОБЕНА 
da	BASERET PÅ HARLAN COBENS ROMAN | 
el	ΒΑΣΙΣΜΕΝΟ ΣΤΟ ΜΥΘΙΣΤΟΡΗΜΑ ΤΟΥ ΧΑΡΛΑΝ ΚΟΜΠΕΝ 
en	BASED ON THE NOVEL BY HARLAN COBEN 
es-eu	BASADA EN LA NOVELA DE HARLAN COBEN 
fr	D'APRÈS LE ROMAN D'HARLAN COBEN 
he	‫- על פי ספרו של הרלן קובן -‬ | 
hr	PREMA ROMANU HARLANA COBENA 
hu	HARLAN COBEN REGÉNYE ALAPJÁN 
id	BERDASARKAN NOVEL KARYA HARLAN COBEN HOLD TIGHT: PEGANG ERAT 
ja	ハーラン･コーベン原作 | 
ko	&lrm;"할런 코벤 소설 원작" | 
ms	BERDASARKAN NOVEL OLEH HARLAN COBEN 
nl	GEBASEERD OP DE ROMAN VAN HARLAN COBEN 
no	BASERT PÅ HARLAN COBENS ROMAN 
pt-br	BASEADO NO ROMANCE DE HARLAN COBEN 
pt	INSPIRADA NO ROMANCE DE HARLAN COBEN 
ro	BAZAT PE ROMANUL LUI HARLAN COBEN 
ru	ПО МОТИВАМ РОМАНА ХАРЛАНА КОБЕНА 
sv	EFTER EN ROMAN AV HARLAN COBEN 
th	&lrm;(สร้างจากนวนิยายของฮาร์ลาน โคเบน) | 
tr	HARLAN COBEN'IN ROMANINDAN ESİNLENİLMİŞTİR 
vi	&lrm;DỰA TRÊN TIỂU THUYẾT CỦA HARLAN COBEN | 
zh-long	（改編自哈蘭科本原著小說） 
zh-short	（根据哈兰·科本的小说改编） 

en	[glass shatters] 

