ja	鳥に使えるやつだ | 
id	Semprotan kecoak untuk burung? 
ru	Спрей от птиц? 
th	สเปรย์ฆ่าแมลงสาบสำหรับนกเหรอ | 
ar	&rlm;‏رذاذ صراصير للطيور.‏ | 
da	En kakerlakspray mod fugle. 
el	Κάποιο σπρέι για πουλιά; 
en	A roach spray for birds. | 
es-eu	Un aerosol de cucarachas para pájaros. 
es	Un aerosol para aves. 
fi	Torakkamyrkky linnuille. 
fr	Une bombe anti-cafards contre les piafs. 
he	&rlm;‏תרסיס נגד מקקים לציפורים.‏ | 
it	Un insetticida per scarafaggi per gli uccelli? 
nl	Kakkerlakkengif voor vogels. 
no	Kakerlakkspray mot fugler. 
pl	Spray na ptaki. 
pr-br	Um spray para dedetizar pássaros. 
pr	Um  spray  de baratas para pássaros. 
ro	Un spray de gândaci pentru păsări. 
sv	En skadedjurssprej mot fåglar. 
tr	Kuşlar için hamamböceği spreyi. 
vi	Thuốc xịt diệt chim. | 
zh-long	用來殺鳥的藥劑？ 
zh-short	用喷蟑螂的来驱鸟吗？ 
ko	새 전용 바퀴벌레 퇴치약? | 

en	[Hubie screams, thuds] 

