ja	君が自信を失っても | 彼だけは君を信じる | 
ru	Он всегда в тебя верил. 
zh-short	一个从不会怀疑你的人 
ko	네가 스스로를 의심해도 | 
th	คนที่ไม่มีวันไม่เชื่อในตัวคุณ | 
ar	&rlm;‏رجل لن يشك بقدراتك أبداً.‏ | 
da	En mand, der aldrig vil tvivle på dig. 
el	Που δε θα αμφιβάλλει ποτέ για εσένα. 
en	A guy who will never doubt you. | 
es-eu	Un tío que nunca dudará de ti. 
es	Un tipo que nunca dudará de ti. 
fi	Hän ei koskaan epäile sinua. 
fr	Un type qui ne doutera jamais de toi. 
he	&rlm;‏גבר שלא יפקפק בך לעולם.‏ | 
it	Un uomo che non avrebbe mai dubbi su di te. 
pl	Który nigdy w ciebie nie zwątpi. 
pt-br	Um cara que nunca vai duvidar de você. 
pt	Um tipo que nunca duvidará de ti. 
ro	Un tip care nu se va îndoi de tine. 
tr	Senden asla şüphelenmeyecek bir adam. 
vi	Một gã sẽ không bao giờ nghi ngờ em. | 
zh-long	那個人永遠不會懷疑妳 
nl	Die nooit aan je zal twijfelen. Ook als je aan jezelf twijfelt. 
no	En som aldri vil tvile på deg. Selv ikke når du tviler på deg selv. 
sv	En kille som aldrig tvivlar på dig. Även när du tvivlar på dig själv. 
id	Pria yang tidak pernah meragukanmu, 

