id	Ya, siapa ini? 
en	Yeah. Yeah, who... who is this? | 
ar	&rlm;‏أجل. من أنت؟‏ | 
da	Ja, hvem er det? 
es-eu	Sí. Sí, ¿quién es? 
es	Sí, ¿quién es? 
he	&rlm;‏כן. מי זה?‏ | 
it	Sì, chi è? 
pt-br	Sim, quem é? 
pt	Sim, quem fala? 
ro	Da. Cine ești? 
sv	Ja. Vem är det? 
vi	Phải, ai đấy? | 
zh-long	對，你哪位？ 
nl	Ja, met wie spreek ik? -Dat weet je wel. 
fi	Puhelimessa. Kuka siellä? 
pl	Tak. Kto mówi? 
zh-short	对 请问是哪位？ 
ko	네, 누구세요? | 
th	ครับ ใช่ นี่ใคร | 
tr	Evet. Evet, siz kimsiniz? 
el	Ναι. Ποιος είναι; 
no	-Ja. Hvem er dette? -Du vet hvem det er. 
ru	Да. 
ja	そうだ　君は誰だい？ | 
fr	Qui est-ce ? 
ru	Кто говорит? 

