ja	「アイスハウス」の | ミニーのマネも | 
ar	&rlm;‏تبع "ميني" في نادي "أيس هاوس" مؤخراً.‏ | 
da	Han fulgte Minnie på The Ice House for nylig. 
el	Άνοιξε και για τη Μίνι στο Ice House πρόσφατα. 
en	He can follow... He followed Minnie | at The Ice House recently. | 
fi	Hän esiintyi Minnien jälkeen Ice Housessa. 
fr	Il a suivi Minnie à La Maison de Glace il y a peu. 
he	&rlm;‏הוא הופיע לאחרונה אחרי מיני ב"אייס האוס".‏ | 
it	Alla Ice House si è esibito dopo Minnie. 
ko	최근에는 아이스 하우스의 | 미니를 따라 했고요 | 
nl	Hij volgde Minnie in The Ice House. 
no	Han fulgte etter Minnie på Ice House nylig. 
pl	Ostatnio był po Minnie w klubie Ice House. 
pr-br	Ele se apresentou após a Minnie no Ice House recentemente. 
pr	Recentemente, imitou o Minnie na Ice House. 
ro	A imitat-o nu de mult pe Minnie, la The Ice House. 
sp-eu	Hace poco fue detrás de Minnie en The Ice House. 
sp	Siguió a Minnie en The Ice House hace poco. 
sv	Han följde Minnie i Ice House nyligen. 
th	ไม่นานมานี้เขาตามมินนี่ที่ไอซ์เฮาส์ | 
tr	Kısa süre önce Buz Evi'nde Minnie'yi takip etmişti. 
vi	Anh ta mới theo dõi Minnie | trong The Ice House. | 
zh-long	他最近還模仿過 《冰屋》裡的米妮 
zh-short	他能模仿追冰屋的米妮 
id	Dia mengikuti Minnie di  The Ice House  baru-baru ini. 
ru	Он выступал после Минни в «Айс Хаузе». 

