ru	Да это же животное. 
id	Pria ini gila. 
ar	&rlm;‏إنه متوحش.‏ | 
da	Den mand er et dyr. 
el	Είναι αδίστακτος. 
en	This guy's an animal. | 
es	Este tipo es un animal. 
es-eu	Este tío es un animal. 
fi	Mies on eläin. 
fr	Il est sauvage, ce gars. 
he	&rlm;‏הבחור הזה הוא חיה.‏ | 
it	Quest'uomo è un animale. 
ko	짐승 같은 인간 | 
no	Den fyren er et udyr. 
pl	Barbarzyńca. 
pr-br	Este cara é um animal. 
pr	Este tipo é um animal. 
ro	Tipul ăsta e feroce. 
sv	Han är ett odjur. 
th	หมอนี่ร้ายกาจ | 
tr	Bu adam bir hayvan. 
vi	Gã này là một con vật. | 
zh-long	這傢伙根本是野獸 
zh-short	狮子大开口啊 
nl	Hij is een beest. -Met letterlijk schuim op z'n mond. 
ja	ケダモノだ | 

