ar	&rlm;‏وأنت تتنفسين.‏ | 
da	Og du trækker vejret. 
el	Αναπνέεις. 
en	And you... you're breathing. | 
es-eu	Y respiras. 
es	Y estás respirando. 
fi	Sinä hengität. 
fr	Et tu respires. 
he	&rlm;‏ואת... נושמת.‏ | 
it	Respiri. 
no	Og du puster. 
pl	Oddychasz. 
pt-br	E você está respirando. 
pt	E estás a respirar. 
ro	Și respiri. 
sv	Och du andas. 
th	หายใจอยู่หรือเปล่า | 
tr	Ve nefes alıyorsun. 
vi	Cô vẫn đang thở. | 
zh-long	妳要呼吸喔 
zh-short	你有呼吸 
nl	En je ademt. Adem je wel? 
ru	А ты... 
ja	息は― | 
id	Kau bernapas. 
ko	숨은 쉬는구나 | 
ru	...дышишь? 
ja	してる | 

en	Muah! Muah! 

