ar	&rlm;‏لا، لن أنتحر!‏ | 
da	Nej, jeg gør ikke! 
el	Όχι! 
en	No, I'm not! | 
fi	En tee! 
fr	Non ! 
he	&rlm;‏לא, אני לא!‏ | 
id	Aku tidak bunuh diri! 
it	Non mi voglio suicidare! 
ko	내가 왜요? | 
no	Nei, det gjør jeg ikke! 
pl	Nie chcę! 
pr-br	Não vou! 
pr	Não vou nada! 
ro	Nu vreau. 
ru	Нет, не хочу! 
sp-eu	¡No! 
sp	¡No, no lo haré! 
sv	Nej, det ska jag inte. 
th	ไม่ ไม่ใช่ | 
tr	Hayır, intihar etmeyeceğim! 
vi	Không đâu. | 
zh-long	並沒有 
zh-short	不 我没要自杀！ 
nl	Dat doe ik niet. Ik ben in orde, bedankt. 
ja	死ぬもんか！ | 

