id	Bagaimana caramu menjadi Sandy? 
ja	秘訣(ひけつ)は何なの？ | 
ru	Как стать Сэнди? 
ar	&rlm;‏كيف تغدو "ساندي"؟‏ | 
da	Hvordan bliver du til Sandy? 
el	Πώς γίνεται κανείς Σάντι; 
en	How do you become Sandy? | 
es	¿Cómo te conviertes en Sandy? 
es-eu	¿Cómo te conviertes en Sandy? 
fi	Miten ihmisestä tulee tuollainen? 
fr	C'est quoi, ton secret ? 
he	&rlm;‏איך הופכים להיות סנדי?‏ | 
it	Come si diventa Sandy? 
ko	어떻게 샌디가 됐죠? | 
nl	Hoe ben je Sandy geworden? 
no	Hvordan blir man Sandy? 
pl	Jak zostać Sandym? 
pr-br	Como você se tornou Sandy? 
pr	Como te tornaste no Sandy? 
ro	Cum poți să devii Sandy? 
sv	Hur blev du Sandy? 
th	คุณกลายเป็นแซนดี้ได้ยังไง | 
tr	Nasıl Sandy olunur? 
vi	Sao anh lại trở thành Sandy? | 
zh-long	你是怎麼成為山迪的？ 
zh-short	你如何成为桑迪的？ 

en	♪ And if you want to get freaky ♪ 

