id	Tidak mungkin mereka... 
ru	Не могут же они... 
ar	&rlm;‏من المستحيل أنهم...‏ | 
da	Er det muligt, at de... 
el	Είναι αδύνατον να... 
fi	On mahdotonta... 
fr	C'est impossible de... 
he	&rlm;‏זה לא ייתכן שהם...‏ | 
it	È impossibile che... 
no	Det er umulig at de... 
pl	Nie da się jej... 
pr-br	É impossível que eles... 
pr	É impossível que eles... 
ro	E imposibil ca ei să... 
sp	Es imposible que... 
sp-eu	Es imposible que... 
sv	Det är omöjligt att de... 
th	แทบเป็นไปไม่ได้ที่จะ... | 
tr	İmkânsız yani... 
vi	Họ không thể nào... | 
zh-long	總不可能… 
zh-short	他们不可能… 
en	It's impossible | that they have cellophane... | 
ko	불가능해 보이는 건... | 

