ja	悪友をプールに！ | 
id	Kulihat teman-temanmu di dalam kolamku! 
ru	и я вижу твоих друзей в моем бассейне! 
ar	&rlm;‏وأرى أصدقاءك الملحدين في بركة سباحتي!‏ | 
da	Jeg ser dine venner i min pool! 
en	And I see your godless friends in my pool! | 
es-eu	¡Y veo a tus amigos en mi piscina! 
es	¡Y veo a tus amigos en mi piscina! 
fi	Ja ystäväsi olivat altaassani! 
fr	Et je vois tes amis dans ma piscine ! 
he	&rlm;‏ואני רואה את החברים שלך בבריכה שלי!‏ | 
it	E ho visto i tuoi amici nella mia piscina! 
nl	En ik zie jouw vrienden in mijn zwembad. 
pr-br	E vi seus amigos na minha piscina! 
pr	E vejo os teus amigos na minha piscina! 
ro	Și-ți văd prietenii în piscina mea! 
sv	Och jag ser dina vänner i min pool! 
th	แล้วเห็นเพื่อนๆ คุณในสระของผม | 
vi	Tôi thấy bạn anh trong bể bơi của tôi! | 
zh-long	然後看著你朋友跳進我的泳池！ 
zh-short	还看见你朋友进了泳池！ 
tr	Dostlarının havuzuma girdiğini de gördüm! 
el	και βλέπω τους φίλους σου στην πισίνα μου! 
pl	I widzę twoich kumpli w basenie! 
no	-Og jeg ser vennene dine i bassenget mitt! -Firuz, her er det som skjedde. 
ko	수영장에 친구들이 | 뛰어든 모습까지 다 봤어! | 

en	[laughs] 

