ar	&rlm;‏هل قتلته؟‏ | 
da	Har du slået ham ihjel? 
el	Τον σκότωσες; 
en	You killed him? | 
es-eu	¿Le has matado? 
es	¿Tú lo mataste? 
fi	Tapoitko hänet? 
it	L'hai ucciso tu? 
ko	네가 죽였어? | 
nl	Heb je hem vermoord? 
pt-br	Você o matou? 
pt	Mataste-o? 
sv	Dödade du honom? 
vi	Anh giết ông ấy à? | 
zh-long	你殺了他？ 
zh-short	你杀了他吗？ 
ja	殺したのか？ | 
he	&rlm;‏הרגת אותו?‏ | 
fr	Tu l'as tué ? 
id	Kau membunuhnya? 
no	Har du drept ham? 
ro	L-ai omorât? 
ru	Ты его убил? 
th	คุณฆ่าเขาเหรอ | 
pl	Zabiłeś go? 
tr	Sen mi öldürdün? 

