ar	&rlm;‏"سياتل"؟ عم تتحدثين؟‏ | 
da	Seattle? Hvad mener du? 
el	Στο Σιάτλ; Τι είναι αυτά που λες; 
en	Seattle? What are you talking about? | 
fi	Seattleen? Mitä ihmettä? 
fr	Seattle ? Qu'est-ce que tu racontes ? 
it	A Seattle? Ma che dici? 
nl	Seattle? Wat bedoel je? 
pl	Do Seattle? O czym ty mówisz? 
pr-br	Seattle? Do que você está falando? 
pr	Seattle? Que conversa é essa? 
ro	Seattle? Ce spui acolo? 
sp	¿A Seattle? ¿De qué hablas? 
sp-eu	¿Seattle? ¿De qué hablas? 
sv	Seattle? Vad pratar du om? 
tr	Seattle mı? Sen ne diyorsun? 
vi	Seattle? Em nói gì vậy? | 
zh-long	西雅圖？妳在說什麼？ 
zh-short	西雅图？你在说什么？ 
id	Seattle? Apa maksudmu? 
ko	시애틀? 무슨 소리야? | 
ru	В Сиэтл? Что ты говоришь? Весь этот... 
ja	シアトルに行くなんて | 冗談だろ？ | 
he	&rlm;‏סיאטל? על מה את מדברת?‏ | 
no	Seattle? Hva prater du om? 
th	ซีแอตเทิล พูดเรื่องอะไรนั่น | 

