ja	ホイットニーと並ぶ | 
ru	Это точно Уитни. Сто процентов. 
id	Sudah pasti Whitney. Ini Whitney, 100 persen. 
ar	&rlm;‏"ويتني" تتفوق في الأمر من دون شك.‏ | 
da	Det er bestemt Whitney. Det er hende, 100 procent. 
el	Θα φτάσει τη Γουίτνι. Είμαι απόλυτα σίγουρος. 
en	It's definitely Whitney. | It's a Whitney, 100%. | 
fi	Hän on aivan kuin Whitney. 
fr	Elle vaut largement Whitney. Sans conteste. 
he	&rlm;‏זה לגמרי ויטני. זו היא, 100 אחוז.‏ | 
it	è Whitney, al cento per cento. 
ko	완전히 휘트니야 | 100%라고 볼 수 있지 | 
nl	Het is duidelijk Whitney. 100%. 
no	Det er definitivt Whitney. 100 prosent. 
pl	To druga Whitney. Bez wątpienia. 
pr-br	Certamente a Whitney. É ela, 100%. 
pr	É claramente a Whitney. É ela a 100 %. 
ro	E clar o nouă Whitney. E ea 100%. 
sp	Es igual a Whitney. Es ella 100 %. 
sp-eu	Es definitivamente Whitney. Es ella al 100 %. 
th	มันเป็นแบบวิตนีย์ แบบเธอเต็มร้อย | 
tr	Kesinlikle Whitney. %100. 
vi	Chắc chắn là Whitney. Nhất định là cô ấy. | 
zh-long	絕對跟惠妮有得比，百分之百 
zh-short	绝对会是惠特尼 百分百地 

