id	Teknikmu... 
ru	Твоя техника... 
ar	&rlm;‏أسلوبك...‏ | 
da	Din teknik... 
el	Η τεχνική σου... 
en	-Your technique... | -["Mr. DJ" playing on radio] | 
fi	Tekniikkasi... 
fr	Ta technique... 
he	&rlm;‏הטכניקה שלך...‏ | 
it	La tua tecnica... 
ko	기술이... | 
nl	Je techniek... 
pl	Twoja technika... 
pr	A tua técnica... 
pr-br	Sua técnica... 
ro	Tehnica ta... 
sp-eu	Tu técnica... 
sp	Tu técnica... 
sv	Din teknik... 
th	เทคนิคนาย... | 
tr	Tekniğin... 
vi	Kỹ thuật của anh... | 
zh-long	你那小伎倆… 
zh-short	你的技术 

