zh-short	你的这种情况很正常 
id	Sikapmu itu wajar. 
th	ที่คุณทำมันเป็นเรื่องธรรมชาติ | 
ru	Это совершенно естественно. 
ja	ごく自然なことだ | 
ar	&rlm;‏ما تفعلينه طبيعي تماماً.‏ | 
da	Det, du gør, er fuldstændig normalt. 
el	Αυτο που κάνεις είναι εντελώς φυσιολογικό. 
en	What you're doing's perfectly natural. | 
fi	Käytöksesi on aivan normaalia. 
fr	C'est tout à fait naturel. 
he	&rlm;‏מה שאת עושה טבעי לחלוטין.‏ | 
it	Ciò che fai è del tutto naturale. 
ko	네가 하는 건 | 정말 자연스러운 거야 | 
nl	Wat je doet, is heel normaal. 
no	Det du gjør, er helt naturlig. 
pl	To, co robisz, jest zupełnie naturalne. 
pr-br	O que está fazendo  é perfeitamente natural. 
pr	O que estás a fazer é perfeitamente natural. 
ro	Ceea ce faci e absolut firesc. 
sp-eu	Lo que estás haciendo es completamente normal. 
sp	Lo que haces es perfectamente natural. 
sv	Det du gör är helt naturligt. 
tr	Yaptığın şey son derece doğal. 
vi	Chuyện đó là hoàn toàn bình thường. | 
zh-long	妳的行為非常正常 

