id	Makanan Tionghoa? 
ja	中国料理はどう？ | 
ru	Китайская кухня? 
ar	&rlm;‏طعام صيني؟‏ | 
da	Kinesisk? 
el	Κινέζικο; 
en	Chinese food? | 
es-eu	¿Comida china? 
es	¿Quieres comida china? 
fi	Kiinalaista? 
fr	On mange chinois ? 
he	&rlm;‏אוכל סיני?‏ | 
it	Mangiamo cinese? 
ko	중국 음식 먹을래? | 
nl	Chinees? 
no	Kinesisk? 
pl	Chińszczyzna? 
pr-br	Comida chinesa? 
pr	Comida chinesa? 
ro	Mâncare chinezească? 
sv	Kinamat? 
th	อาหารจีนล่ะ | 
tr	Çin yemeği? 
vi	Món ăn Trung Hoa? | 
zh-long	中國菜？ 
zh-short	吃中餐怎么样？ 

en	[engine revs] 

