ja	待ってくれ | ひどいじゃないか | 
ru	Нет! Не делай этого! 
ko	나한테 그러면 안 되지! | 
ar	&rlm;‏لا! لا يمكنك فعل هذا بي!‏ | 
da	Nej! Det kan du ikke gøre imod mig! 
el	Δεν μπορείς να μου το κάνεις αυτό! 
es-eu	¡No puedes hacerme eso! 
es	¡No! ¡No puedes hacerme eso! 
fi	Et voi tehdä minulle näin! 
fr	Me fais pas ça ! 
he	&rlm;‏לא! אתה לא יכול לעשות לי את זה!‏ | 
it	Non puoi farmi questo! 
nl	Nee. Dat mag je me niet aandoen. 
no	Nei! Du kan ikke gjøre det mot meg! 
pl	Nie możesz mi tego zrobić! 
pt-br	Não pode fazer isso comigo! 
pt	Não! Tu não me podes fazer isso! 
ro	Nu! Nu-mi poți face asta! 
sv	Nej! Du kan inte göra så mot mig. 
th	ไม่นะ ทำแบบนั้นกับฉันไม่ได้นะ | 
tr	Hayır! Bunu bana yapamazsın! 
vi	Không! Anh không thể làm thế với tôi! | 
zh-long	你不能這樣對我！ 
zh-short	不！你不能这么对我！ 
en	No! You can't do that to me! Aah! | 
id	Kau tidak bisa lakukan itu kepadaku! 

