ja	ゴキブリの殺虫剤 | みたいなのある？ | 
id	Entahlah. Ada semprotan untuk itu? Seperti semprotan kecoak atau... 
ru	Может, есть какой-то спрей? Как от тараканов или... 
ar	&rlm;‏‏لا أدري. أيوجد رذاذ لهذا؟ | &rlm;‏مثل رذاذ الصرصار أو...‏ | 
da	Er der ikke en spray mod det? En kakerlakspray eller... 
el	Δεν ξέρω. Υπάρχει κάποιο σπρέι, όπως αυτά για τα έντομα... 
en	I don't know. Is there a spray for it? | Like, a... a roach spray or... | 
es-eu	No sé. ¿No hay un aerosol para eso? Como el de las cucarachas. 
es	No sé. ¿No hay un aerosol? Como para las cucarachas o... 
fi	En tiedä. Onko siihen myrkkyä? Niin kuin torakkamyrkky. 
fr	Je sais pas. Y a pas un produit pour ça ? Une bombe anti-cafards... 
he	&rlm;‏‏אני לא יודע. יש תרסיס בשביל זה? | &rlm;‏כמו תרסיס נגד מקקים או...‏ | 
it	Non lo so. Esiste un insetticida adatto? Magari per scarafaggi. 
nl	Ik weet het niet. Is daar een spray voor? 
no	Jeg vet ikke. Fins det en spray? En kakerlakk-spray eller... 
pl	Może jest jakiś spray? Jak na karaluchy. 
pr-br	Sei lá. Tem um spray pra isso? Tem como dedetizar... 
pr	Não sei. Há algum  spray  para isso? Como o das baratas ou... 
ro	Nu știu. Există vreun spray pentru asta? Un spray de gândaci sau... 
sv	Jag vet inte. Finns det nån sprej. Typ som insektssprej? 
th	ไม่รู้สิ มีสเปรย์ให้ใช้ไหม | แบบใช้ฆ่าแมลงสาบหรือ... | 
tr	Bilmem ki. Bir sprey falan var mıdır? Hamamböceği spreyi gibi veya... 
vi	Tôi không biết. Có thuốc xịt à? | Như là thuốc xịt côn trùng hay... | 
zh-long	我不知道，有什麼藥可以噴嗎？ 殺蟲劑之類的… 
zh-short	我不知道 有驱鸟剂吗？ 像是喷蟑螂的那种或是 
ko	글쎄, 스프레이가 있나? | 바퀴벌레 퇴치약처럼 | 

en	[muffled shrieking] 

