id	Wexler Artists. 
ru	«Уэкслер Артистс». 
ja	ウェクスラー・ | アーティスツ | 
ar	&rlm;‏"ويكسلر أرتيستس".‏ | 
da	Wexler Artists. 
el	Καλλιτέχνες του Γουέξλερ. 
en	[Sandy, groggy] Wexler Artists. | 
fi	Wexler Artists. 
fr	Wexler et ses Artistes. 
he	&rlm;‏וקסלר אמנים.‏ | 
it	Wexler Artists. 
ko	웩슬러 아티스트입니다 | 
no	Wexler Artists. 
pl	Wexler Artists. 
pr-br	Artistas Wexler. 
pr	Wexler Artists. 
ro	Wexler Artists. 
sp	Artistas Wexler. 
sp-eu	Artistas Wexler. 
sv	Wexler Artists. 
th	เวกซเลอร์อาร์ทิสต์ส | 
tr	Wexler Sanatçıları. 
vi	Nghệ sĩ Wexler. | 
zh-long	韋克斯勒經紀公司 
zh-short	韦克斯勒艺人公司 

