ar	&rlm;‏ما الأمر؟‏ | 
da	Hvad er der galt? 
el	Τι συμβαίνει, φίλε; 
en	What's the matter, man? | 
fr	Un problème ? 
it	Che succede? 
ko	왜 그래? | 
pr-br	Qual é o problema, cara? 
pr	O que se passa? 
sp-eu	¿Qué pasa, tío? 
sp	¿Qué pasa, viejo? 
sv	Vad är det för fel? 
zh-long	怎麼了？ 
zh-short	怎么了 老兄？ 
nl	Wat is er? -Niets. Lekker. 
ja	何だ？ | 
id	Ada apa, Bung? 
pl	Co jest? 
ru	Что такое? 
th	มีอะไรเหรอ | 
vi	Sao thế, anh bạn? | 
he	&rlm;‏מה קרה, בנאדם?‏ | 
fi	Mikä hätänä? 
no	Hva er galt? 
ro	Ce e? 
tr	Ne oldu dostum? 

