ru	Его зовут Эрик Ламонсофф. 
id	Namanya Eric Lamonsoff. 
ar	&rlm;‏‏اسمه "أريك لامنسوف". | &rlm;‏ولا يعمل في عالم الفن.‏ | 
da	Han hedder Eric Lamonsoff. Han er ikke i showbusiness. 
el	Το όνομά του είναι Έρικ Λάμονσοφ. Δεν είναι από το χώρο του θεάματος. 
en	His name is Eric Lamonsoff. | He's not in show business. | 
es-eu	Se llama Eric Lamonsoff. No es del mundo del espectáculo. 
es	Se llama Eric Lamonsoff. No es del mundo del espectáculo. 
fi	Hänen nimensä on Eric Lamonsoff. Hän ei ole viihdealalla. 
fr	Il s'appelle Eric Lamonsoff. Il n'est pas dans le show-biz. 
he	&rlm;‏‏קוראים לו אריק למונסוף. | &rlm;‏הוא לא בעסקי השעשועים.‏ | 
it	Si chiama Eric Lamonsoff. Non è nel nostro campo. 
nl	Hij heeft Eric Lamonsoff. Hij zit niet in de showbizz. 
no	Han heter Eric Lamonsoff. Han er ikke i showbusiness. 
pl	Nazywa się Eric Lamonsoff i nie pracuje w show-biznesie. 
pt-br	O nome dele é Eric Lamonsoff. Ele não é artista. 
pt	Chama-se Eric Lamonsoff. Não é do mundo do espetáculo. 
ro	Îl cheamă Eric Lamonsoff. Nu e în showbiz. 
sv	Han heter Eric Lamonsoff. Han jobbar inte med showbusiness. 
th	เขาชื่อเอริค ลามอนซอฟฟ์ | เขาไม่ได้อยู่ในวงการบันเทิง | 
tr	Adı Eric Lamonsoff. Şov dünyasından değil. 
vi	Anh ấy là Eric Lamonsoff. | Không làm trong ngành giải trí. | 
zh-long	他叫艾瑞克藍蒙索夫 不是圈內人 
zh-short	他叫埃里克拉蒙索夫 不是圈里人 
ko	에릭 레먼소프라고 | 이 바닥 사람이 아니에요 | 

