en	[crowd cheering] | 

hr	U SJEĆANJE NA CAMERONA BOYCEA 
es	EN MEMORIA DE CAMERON BOYCE 
de	IN LIEBEVOLLER ERINNERUNG AN CAMERON BOYCE 
hu	CAMERON BOYCE EMLÉKÉRE 
pt	EM MEMÓRIA DE CAMERON BOYCE 
ko	"캐머런 보이스를 추모합니다" 
pl	PAMIĘCI CAMERONA BOYCE’A 
pt-br	EM MEMÓRIA DE CAMERON BOYCE 
ro	ÎN AMINTIREA LUI CAMERON BOYCE 
el	ΣΤΗ ΜΝΗΜΗ ΤΟΥ ΚΑΜΕΡΟΝ ΜΠΟΪΣ 
ar	‫"في ذكرى (كاميرون بويس)‬ | 
cs	NA PAMÁTKU CAMERONA BOYCE 
da	I KÆRLIGT MINDE OM CAMERON BOYCE 
es-eu	EN MEMORIA DE CAMERON BOYCE 
fi	CAMERON BOYCEN RAKKAALLE MUISTOLLE 
fr	EN MÉMOIRE DE CAMERON BOYCE 
he	‫- לזכרו האהוב של קמרון בויס -‬ | 
id	DALAM KENANGAN | AKAN CAMERON BOYCE | 
it	IN RICORDO DI CAMERON BOYCE 
ms	CAMERON BOYCE DALAM KENANGAN 
nl	TER NAGEDACHTENIS AAN CAMERON BOYCE 
no	TIL MINNE OM CAMERON BOYCE 
ru	СВЕТЛОЙ ПАМЯТИ КАМЕРОНА БОЙСА 
th	(ด้วยความระลึกถึงคาเมรอน บอยซ์) 
tr	CAMERON BOYCE'UN ANISINA 
vi	TƯỞNG NHỚ CAMERON BOYCE 
zh-long	（謹此紀念卡梅隆伯埃斯） 
zh-short	（纪念敬爱的卡梅隆·伯艾斯） 
ja	&lrm;キャメロン･ボイスに捧ぐ | 
sv	Till minne av Cameron Boyce. Borta alldeles för tidigt. 
hu	TÚL KORÁN MENTÉL EL, AZ EGYIK LEGKEDVESEBB, LEGMENŐBB, LEGVICCESEBB 
pt	Partiste muito cedo e foste um dos miúdos mais gentis, fixes 
hr	Otišao si mnogo prije vremena i bio jedan od najboljih, najduhovitijih 
ko	"누구보다 친절하고, 멋지고 유쾌하고 재능 넘치던 친구" 
pl	Odszedł zbyt wcześnie. Jeden z najmilszych, najzabawniejszych 
pt-br	Foi-se muito cedo, e foi um dos garotos mais gentis, legais, 
ro	Dispărut prea repede, era unul dintre cei mai drăguți, haioși 
es	NOS DEJASTE PREMATURAMENTE, ERAS UNO DE LOS CHICOS 
el	Έφυγε πολύ νωρίς ένα από τα πιο ευγενικά, κουλ, αστεία, 
de	Viel zu früh gegangen. 
ru	ОН УШЕЛ СЛИШКОМ РАНО 
ms	Pergi terlalu awal. 
