id	Kesuksesan bisa membuat kesepian. 
ar	&rlm;‏قد يشعر النجاح المرء بالوحدة.‏ | 
da	Succes kan være ensomt. 
el	Η επιτυχία είναι μοναχική. 
en	Success can be really lonely. | 
es	El éxito puede ser solitario. 
es-eu	El éxito puede ser solitario. 
fi	Menestys voi olla yksinäistä. 
fr	Le succès, ça peut isoler. 
he	&rlm;‏ההצלחה יכולה להיות מאוד בודדה.‏ | 
it	Il successo può farti sentire solo. 
ko	성공이란 사람을 | 외롭게 하기도 해요 | 
nl	Succes kan eenzaam zijn. 
no	Suksess kan være ensomt. 
pl	Sukces bywa samotny. 
pt-br	O sucesso pode ser solitário. 
pt	O sucesso pode ser solitário. 
ro	Succesul poate aduce singurătate. 
ru	Успех - дело одинокое. 
sv	Framgång kan vara ensamt. 
th	ความสำเร็จทำให้เหงาได้ | 
tr	Başarı yalnızlık getirebilir. 
vi	Thành công có thể rất cô đơn. | 
zh-long	成功之路是很寂寞的 
zh-short	成功的代价可能是孤独 
ja	スターは孤独 | 

en	♪ Dancing with the Devil ♪ 

