id	Kau bernapas? 
ja	してるよな？ | 
ru	Ты дышишь? 
ar	&rlm;‏هل تتنفسين؟‏ | 
da	Trækker du vejret? 
el	Αναπνέεις; 
en	Are you breathing? | 
es	¿Estás respirando? 
es-eu	¿Respiras? 
fi	Hengitätkö? 
fr	Tu respires ? 
he	&rlm;‏את נושמת?‏ | 
it	Stai respirando? 
no	Puster du? 
pl	Oddychasz? 
pt-br	Está respirando? 
pt	Estás a respirar? 
ro	Respiri? 
sv	Andas du? 
th	หายใจอยู่หรือเปล่า | 
tr	Nefes alıyor musun? 
vi	Cô vẫn đang thở chứ? | 
zh-long	妳有在呼吸嗎？ 
zh-short	你在呼吸吗？ 
ko	숨 쉬는 거지? | 

en	[both moaning] 

