id	Sandy Wexler. 
ar	&rlm;‏"ساندي ويكسلر".‏ | 
da	Sandy Wexler. 
el	Σάντι Γουέξλερ. 
es-eu	Sandy Wexler. 
es	Sandy Wexler. 
fi	Sandy Wexler. 
he	&rlm;‏סנדי וקסלר.‏ | 
it	Sandy Wexler. 
no	Sandy Wexler. 
pl	Sandy Wexler. 
pr-br	Sandy Wexler. 
pr	Sandy Wexler. 
ro	Sandy Wexler! 
sv	Sandy Wexler. 
th	แซนดี้ เวกซ์เลอร์ | 
tr	Sandy Wexler. 
vi	Sandy Wexler. | 
zh-long	山迪韋克斯勒 
zh-short	桑迪韦克斯勒 
ru	Сэнди Уэкслер! 
en	Sandy Wexler. Wow. | 
ja	サンディ･ウェクスラー | 招かれたのか？ | 
ko	샌디 웩슬러 | 

en	[dog barking in distance] 

