id	Lagu ini. 
sp	La canción, esta canción... 
ja	いい歌だろ？ | 
ar	&rlm;‏هذه الأغنية...‏ | 
da	Sangen... Den sang... 
el	Το κομμάτι. 
en	The song... This song-- | 
fi	Tämä kappale... 
fr	Écoutez ça. 
he	&rlm;‏השיר הזה...‏ | 
it	La canzone. 
no	Den sangen... 
pl	Ale piosenka. 
pr-br	Essa música... 
pr	Esta canção... 
ro	Cântecul ăsta... 
sp-eu	La canción... Esta canción... 
sv	Den här låten. 
th	เพลงนี้ เพลงนี้... | 
tr	Şarkı... Bu şarkı... 
vi	Bài hát này... | 
zh-long	這首歌好聽 
zh-short	这首歌… 
ko	노래 좀 들어봐요 | 
ru	Песня-то, песня! 

