id	Kau bercanda, Marty? 
ru	Ты шутишь, Марти? 
ja	冗談だろ？ マーティ | 
ar	&rlm;‏أتمزح معي يا "مارتي"؟‏ | 
da	Tager du gas på mig, Marty? 
el	Πλάκα μου κάνεις, Μάρτι; 
en	[imitating Sandy] | Are you kidding me, Marty? | 
es	¿Bromeas, Marty? 
es-eu	¿Me tomas el pelo, Marty? 
fi	Oletko aivan tosissasi? 
fr	Tu te fiches de moi, Marty ? 
he	&rlm;‏אתה צוחק עליי, מרטי?‏ | 
it	Mi prendi in giro, Marty? 
ko	장난해요, 마티? | 
nl	Neem je me in de maling? 
no	Kødder du, Marty? 
pl	Jaja sobie robisz, Marty? 
pr-br	Está de brincadeira, Marty? 
pr	Estás a brincar comigo, Marty? 
ro	Glumești, Marty? 
sv	Driver du med mig, Marty? 
th	ล้อเล่นใช่ไหม มาร์ตี้ | 
tr	Dalga mı geçiyorsun Marty? 
vi	Anh đùa tôi đấy à, Marty? | 
zh-long	開什麼玩笑，馬蒂？ 
zh-short	你说笑呢吗 马蒂？ 

