id	Sayang, Court. 
ja	“コートニー” | 
ru	Целую, Корт. 
el	Με αγάπη, Κορτ. 
pl	Buziaki, Court. 
ar	&rlm;‏مع الحب، "كورت".‏ | 
da	Kærligst, Court. 
en	Love, Court. | 
es	Con amor, Court. 
es-eu	Te quiero, Court. 
fi	Rakkaudella, Court. 
fr	Bisous, Court. 
he	&rlm;‏אוהבת, קורט.‏ | 
it	Ti voglio bene, Court. 
nl	Liefs, Court. 
pr-br	Com amor, Court. 
pr	Com amor, Court. 
ro	Cu dragoste, Court. 
sv	Kram, Court. 
th	รัก คอร์ท | 
tr	Sevgiler, Court. 
vi	Yêu anh, Court. | 
zh-long	愛你的，寇妮 
zh-short	爱你 考特尼 
no	Kjærlig hilsen, Court. 
ko	'사랑하는 코트니가' | 

en	♪ The Devil ♪ 

