ja	デニス･ロッドマンは | 魅力的だが… | 
ar	&rlm;‏‏و"دينيس رودمان" | &rlm;‏وهو ماهر في الملاعب ولكن...‏ | 
da	Dennis Rodman, der scorer meget, men... 
el	Και ο Ντένις Ρόντμαν, που είναι καλός στο γήπεδο, αλλά... 
es	Dennis Rodman, que es genial en la cancha, pero... 
es-eu	Dennis Rodman, que es buen jugador, pero... 
fi	Dennis Rodman, joka on tykki kentällä, mutta... 
fr	Dennis Rodman, très bon au basket, mais... 
he	&rlm;‏דניס רודמן, שנהדר במגרש, אבל...‏ | 
it	Dennis Rodman, che in campo è fortissimo, ma... 
ko	데니스 로드맨도 | 경기는 잘하지만... | 
nl	Dennis Rodman, die het geweldig doet, maar... 
no	Dennis Rodman, som er god på banen, men... 
pr-br	Dennis Rodman, que manda bem na quadra, mas... 
pr	O Dennis Rodman, que é um excelente jogador, mas... 
ro	Dennis Rodman, care e în top, dar... 
sv	Dennis Rodman, som är bra på plan, men... 
tr	Dennis Rodman potada harika ama... 
vi	Dennis Rodman, nổi tiếng | trên bảng xếp hạng, nhưng... | 
zh-long	丹尼斯羅德曼 他在球場上是很厲害，但… 
zh-short	篮板王丹尼斯罗德曼 可是… 
en	Dennis Rodman, | who's great on the boards, but... | 
pl	Dennis Rodman, który dobrze gra w kosza, ale... 
ru	Деннис Родман, который хорош на площадке, но... 
th	เดนนิส ร็อดแมน ที่เล่นบาสเก่งแต่... | 
id	Dennis Rodman, pebasket yang jago  rebound , tapi... 

