ja	オチは作り直せ | 
ar	&rlm;‏ألف جملاً مضحكة جديدة.‏ | 
da	Du laver nye punchlines. 
el	Θα γράψεις καινούριες. 
en	You do new punch lines. | 
es-eu	Haz otras nuevas. 
es	Haz nuevos remates. 
fi	Keksi uudet. 
fr	Tu les changes. 
he	&rlm;‏תעשה שורות מחץ חדשות.‏ | 
it	Ne scriverai di nuove. 
nl	Doe nieuwe clous. 
no	Lag nye sluttpoeng. 
pl	To napiszesz nowe. 
pr-br	Faça novas. 
pr	Fazes piadas novas. 
ro	Scrii poante noi. 
sv	Du fixar nya poänger. 
th	ปล่อยมุกเด็ดใหม่ | 
tr	Yeni bitiriş sözleri bul. 
vi	Vậy nghĩ ra câu thoại cười mới. | 
zh-long	換個笑點 
zh-short	你用新梗 
ru	Придумаешь новый. 
id	Buat klimaks baru. 
ko	그건 새로 만들면 되지 | 

en	[tires screech] 

