pl	Nasza nowa Grace Kelly. 
ja	グレイス･ケリーの再来だ | 
th	- ผู้หญิงคนนี้คือเกรซ เคลลี่คนใหม่ | - คุณไม่ต้อง | 
fi	-Tyttö on uusi Grace Kelly. -Eikä tarvitsekaan. 
ar	&rlm;‏‏- هذه الفتاة هي "غرايس كيلي" الجديدة. | &rlm;‏- لا يتعين عليك ذلك.‏ | 
da	-Den pige er den nye Grace Kelly. -Det behøver du ikke. 
el	-Είναι η επόμενη Γκρέις Κέλι. -Τώρα, δε χρειάζεται. 
en	-[Sandy] This girl's the new Grace Kelly. | -Now, you don't have to. | 
fr	- C'est la nouvelle Grace Kelly. - Ne ratez rien. 
he	&rlm;‏‏הבחורה הזו היא גרייס קלי החדשה. | 
it	- È la nuova Grace Kelly. - Adesso è possibile. 
ko	- 차세대 그레이스 켈리라니까 | - 그러실 필요 없습니다 | 
nl	Zij is de nieuwe Grace Kelly. -Dat hoeft niet. 
no	-Den jenta er den nye Grace Kelly. -Det må du ikke. 
pr-br	-Esta garota é a nova Grace Kelly. -Não precisa. 
pr	- Ela é a nova Grace Kelly. - Não é preciso. 
ro	- Fata asta e noua Grace Kelly. - Nu trebuie. 
sp	- Esta chica es la nueva Grace Kelly. - No hace falta. 
sp-eu	- Esta chica es la nueva Grace Kelly. - No tienes que perdértelo. 
sv	-Hon är den nya Grace Kelly. -Du måste inte det. 
tr	-Bu kız, geleceğin Grace Kelly'si olacak. -Bu şart değil. 
vi	- Cô gái này là Grace Kelly mới. | - Bạn không cần phải bỏ lỡ. | 
zh-long	-這妹子是下一個葛麗絲凱莉 -沒有必要 
zh-short	-这个姑娘就是新的格蕾丝凯利 -你可以做到 
id	- Dia Grace Kelly yang baru. - Kau tidak perlu. 
ru	Это новая Грейс Келли. 

