ru	Ну что, детка? 
ar	&rlm;‏ما قولك يا طفلة؟‏ | 
da	Hvad siger du, stump? 
el	Τι λες, μικρή; 
en	What do you say, kid? | 
es-eu	¿Qué me dices, chavala? 
es	¿Qué dice, señorita? 
fi	Mitäs sanot? 
fr	Qu'est-ce que t'en dis ? 
he	&rlm;‏מה את אומרת, ילדה?‏ | 
it	Che ne dici, piccola? 
no	Hva sier du? 
pl	Co ty na to? 
pt-br	O que diz, garota? 
pt	O que dizes, miúda? 
ro	Ce zici, puștoaico? 
sv	Vad säger du, vännen? 
th	ว่าไง เด็กน้อย | 
tr	Ne diyorsun evlat? 
vi	Em nói sao, nhóc? | 
zh-long	怎麼樣，小鬼？ 
zh-short	怎么样 孩子？ 
ko	어떻게 생각해? | 
nl	Wat zeg je? Wil je met me trouwen? 
ja	コートニー | 
id	Bagaimana, Nak? 

