ru	В машине, в душе... 
ar	&rlm;‏تغني في السيارة وفي الحمام...‏ | 
da	Du synger i bilen, i brusebadet... 
el	Τραγουδάς στο αυτοκίνητο, στο ντους... 
en	You sing in the car, | you sing in the shower... | 
es	Cantas en el auto, en la ducha... 
es-eu	Cantas en el coche, en la ducha... 
fi	Autossa, suihkussa... 
fr	Dans la voiture, sous la douche... 
he	&rlm;‏אתה שר במכונית, במקלחת...‏ | 
it	Canti in auto, nella doccia... 
no	Du synger i bilen, i dusjen... 
pl	W samochodzie, pod prysznicem... 
pt-br	Você canta no carro, no chuveiro... 
pt	Cantas no carro, no chuveiro... 
ro	Cânți în mașină, la duș... 
tr	Arabada, duşta... 
vi	Anh hát trong xe, khi tắm... | 
zh-long	車上唱，洗澡也唱… 
zh-short	坐车时唱 洗澡时唱 
sv	-Du sjunger i bilen, i duschen... -Spionerar du på mig i duschen? 
th	ร้องเพลงในรถ ในห้องน้ำ | 
id	Kau bernyanyi di mobil, di kamar mandi. 
ko	차에서도, 샤워할 때도... | 

