id	Dari awal. 
ja	頭から | 
ru	С высокой ноты. 
ar	&rlm;‏من البداية.‏ | 
da	Fra begyndelsen. 
el	Από την αρχή. 
en	From the top. | 
es	Desde el principio. 
es-eu	Desde el principio. 
fi	Alusta. 
fr	Du début. 
he	&rlm;‏מההתחלה.‏ | 
it	Dall'inizio. 
ko	처음부터 | 
nl	Vanaf het begin. 
no	Fra begynnelsen. 
pl	Od początku. 
pt-br	Do início. 
pt	Do início. 
ro	De la capăt! 
sv	Från början. 
th	จากเริ่มต้นเลย | 
tr	Baştan. 
vi	Lại từ đầu. | 
zh-long	從頭開始 
zh-short	从头来 

en	-[girl] Yeah, go that way… -[heavy breathing] 

